Frame,Score
1000000,1.0548800000000171
1250000,1.4585600000000258
1500000,1.5243200000000203
1750000,1.6177600000000192
2000000,1.7609600000000074
2250000,1.7550400000000133
2500000,2.118959999999997
2750000,2.179679999999995
3000000,1.9332800000000032
3250000,2.166559999999996
3500000,2.325759999999999
3750000,2.152959999999995
4000000,1.9829600000000034
4250000,2.2355999999999963
4500000,2.0257599999999973
4750000,2.1669599999999942
5000000,2.108959999999997
5250000,2.0539199999999953
5500000,2.064079999999992
5750000,2.179599999999992
6000000,2.176159999999992
6250000,2.2308799999999893
6500000,2.3331999999999864
6750000,2.4074399999999954
7000000,2.4319199999999896
7250000,2.3199199999999935
7500000,2.411679999999992
7750000,2.404719999999997
8000000,2.3217599999999954
8250000,2.4201599999999965
8500000,2.4353599999999966
8750000,2.1523199999999925
9000000,2.4332799999999972
9250000,2.5197600000000007
9500000,2.4246399999999984
9750000,2.4911200000000027
