Frame,Score
1000000,3.069439999999955
1250000,3.0939999999999532
1500000,3.4165599999999547
1750000,3.4977599999999622
2000000,3.4863999999999638
2250000,3.457519999999959
2500000,3.384479999999947
2750000,3.194799999999939
3000000,3.520959999999965
3250000,3.4879199999999617
3500000,3.49919999999996
3750000,3.5369599999999677
4000000,3.4734399999999566
4250000,3.5819999999999723
4500000,3.5577599999999694
4750000,3.3660799999999442
5000000,3.5815199999999727
5250000,3.5442399999999683
5500000,3.561919999999969
5750000,3.55615999999997
6000000,3.4199999999999497
6250000,3.55839999999997
6500000,3.578079999999972
6750000,3.5786399999999716
7000000,3.536799999999967
7250000,3.50151999999996
7500000,3.575519999999972
7750000,3.505039999999958
8000000,3.568559999999971
8250000,3.5800799999999735
8500000,3.556959999999971
8750000,3.5627999999999695
9000000,3.556159999999969
9250000,3.580719999999972
9500000,3.5819999999999723
9750000,3.5647199999999684
