Frame,Score
1000000,1.7974400000000115
1250000,1.962080000000019
1500000,1.8561600000000185
1750000,2.246080000000043
2000000,2.32800000000005
2250000,2.253920000000047
2500000,1.933440000000014
2750000,2.3507200000000505
3000000,2.1680000000000397
3250000,2.3379200000000497
3500000,2.351680000000051
3750000,2.3480000000000487
4000000,2.3606400000000516
4250000,2.3603200000000517
4500000,2.369760000000053
4750000,2.3419200000000515
5000000,2.3379200000000484
5250000,2.3670400000000518
5500000,2.3566400000000525
5750000,2.3782400000000523
6000000,2.364800000000054
6250000,2.3822400000000528
6500000,2.3689600000000524
6750000,2.3153600000000503
7000000,2.373760000000053
7250000,2.366400000000053
7500000,2.384320000000053
7750000,2.381600000000054
8000000,2.102720000000033
8250000,2.3825600000000535
8500000,2.3921600000000534
8750000,2.3731200000000525
9000000,2.384160000000054
9250000,2.3620800000000517
9500000,2.383840000000053
9750000,2.380640000000053
