Frame,Score
1000000,2.3476800000000124
1250000,2.796720000000055
1500000,2.7953600000000542
1750000,2.7839200000000552
2000000,2.8152000000000563
2250000,2.8017600000000553
2500000,2.7934400000000554
2750000,2.7860000000000564
3000000,2.8107200000000563
3250000,2.775440000000054
3500000,2.768640000000055
3750000,2.8185600000000557
4000000,2.812400000000058
4250000,2.7657600000000535
4500000,2.8080000000000562
4750000,2.796080000000056
5000000,2.7702400000000544
5250000,2.789520000000057
5500000,2.829840000000058
5750000,2.778720000000055
6000000,2.830240000000058
6250000,2.802080000000054
6500000,2.8124000000000566
6750000,2.7849600000000563
7000000,2.805200000000057
7250000,2.2798399999999734
7500000,2.800720000000057
7750000,2.7980000000000564
8000000,2.8215200000000578
8250000,2.819920000000058
8500000,2.8282400000000556
8750000,2.8311200000000576
9000000,2.7924000000000566
9250000,2.803520000000057
9500000,2.813840000000057
9750000,2.8324000000000575
