Frame,Score
1000000,2.002080000000026
1250000,1.7939200000000066
1500000,1.5659200000000046
1750000,2.239840000000038
2000000,2.303200000000045
2250000,1.8212799999999967
2500000,1.9902400000000184
2750000,2.3486400000000502
3000000,2.339360000000049
3250000,2.3688000000000518
3500000,2.364000000000052
3750000,2.3630400000000495
4000000,2.387360000000053
4250000,2.3422400000000514
4500000,2.3860800000000535
4750000,2.378400000000052
5000000,2.357440000000052
5250000,2.374240000000053
5500000,2.369600000000052
5750000,2.358880000000051
6000000,2.381120000000053
6250000,2.3960000000000536
6500000,2.384640000000054
6750000,2.3937600000000536
7000000,2.396480000000054
7250000,2.337760000000051
7500000,2.388480000000053
7750000,2.3686400000000525
8000000,2.376480000000053
8250000,2.32864000000005
8500000,2.388160000000053
8750000,2.3862400000000537
9000000,2.386400000000053
9250000,2.35488000000005
9500000,2.3902400000000537
9750000,2.0904000000000327
