Frame,Score
1000000,2.7880800000000554
1250000,2.7612800000000486
1500000,2.3021599999999856
1750000,2.6593600000000346
2000000,2.625760000000037
2250000,2.6398400000000395
2500000,2.767600000000051
2750000,2.7720000000000544
3000000,2.782880000000052
3250000,2.788480000000055
3500000,2.797600000000055
3750000,2.752640000000049
4000000,2.777600000000054
4250000,2.7566400000000493
4500000,2.776240000000056
4750000,2.805680000000056
5000000,2.8173600000000554
5250000,2.8201600000000577
5500000,2.329039999999977
5750000,2.6368800000000285
6000000,2.7898400000000567
6250000,2.4290399999999908
6500000,2.7756800000000554
6750000,2.7420800000000427
7000000,2.7824800000000547
7250000,2.6216800000000218
7500000,2.766000000000051
7750000,2.7908000000000555
8000000,2.777520000000054
8250000,2.8064000000000564
8500000,2.790080000000055
8750000,2.76392000000005
9000000,2.7888800000000566
9250000,2.786880000000055
9500000,2.801840000000056
9750000,2.804400000000056
