Frame,Score
1000000,2.2529599999999963
1250000,2.836639999999967
1500000,2.875839999999971
1750000,3.0081599999999535
2000000,2.9287999999999714
2250000,2.93055999999997
2500000,3.0743999999999465
2750000,3.1062399999999415
3000000,3.1023999999999448
3250000,3.1601599999999346
3500000,2.9185599999999674
3750000,3.033759999999952
4000000,2.8247999999999984
4250000,3.041439999999959
4500000,3.161439999999937
4750000,3.163519999999934
5000000,3.1534399999999345
5250000,3.173439999999933
5500000,3.1779199999999324
5750000,3.1463999999999377
6000000,3.1750399999999335
6250000,2.9014399999999796
6500000,3.1383999999999386
6750000,3.159679999999935
7000000,3.1316799999999425
7250000,3.165279999999933
7500000,3.0673599999999506
7750000,3.1855999999999307
8000000,3.172799999999934
8250000,2.7635200000000024
8500000,3.1798399999999334
8750000,3.150399999999935
9000000,3.1833599999999334
9250000,2.896159999999986
9500000,3.1630399999999352
9750000,3.1644799999999353
Frame,Score
Frame,Score
