Frame,Score
1000000,2.557440000000023
1250000,2.688080000000039
1500000,2.6896000000000355
1750000,2.7612800000000512
2000000,2.7613600000000504
2250000,2.7834400000000517
2500000,2.7764800000000522
2750000,2.763440000000052
3000000,2.777440000000053
3250000,2.7828800000000546
3500000,2.7848800000000535
3750000,2.7902400000000527
4000000,2.7988800000000533
4250000,2.7808800000000518
4500000,2.802080000000053
4750000,2.79712000000005
5000000,2.788000000000051
5250000,2.804720000000053
5500000,2.780160000000047
5750000,2.8020800000000543
6000000,2.7978400000000527
6250000,2.794400000000051
6500000,2.779600000000052
6750000,2.790000000000051
7000000,2.8096800000000512
7250000,2.804320000000049
7500000,2.8126400000000458
7750000,2.799200000000052
8000000,2.795200000000055
