Frame,Score
1000000,3.161680000000001
1250000,4.216799999999998
1500000,4.145760000000003
1750000,2.920479999999998
2000000,4.114960000000002
2250000,4.364320000000003
2500000,4.413759999999997
2750000,4.3703199999999995
3000000,4.075520000000002
3250000,4.73912000000001
3500000,4.097279999999998
3750000,4.814080000000001
4000000,4.702879999999991
4250000,4.669599999999996
4500000,4.2899999999999965
4750000,4.767839999999989
5000000,4.679519999999999
5250000,4.752800000000001
5500000,4.626559999999998
5750000,4.6711999999999945
6000000,4.440800000000006
6250000,4.088240000000006
6500000,4.75216
6750000,4.878559999999996
7000000,4.909039999999998
7250000,4.8646399999999925
7500000,4.655440000000001
7750000,4.845679999999993
8000000,4.830959999999997
8250000,4.637600000000003
8500000,4.92655999999999
8750000,4.387120000000002
9000000,4.921199999999997
9250000,4.925519999999995
9500000,4.3711199999999995
9750000,4.67479999999999
Frame,Score
Frame,Score
Frame,Score
