Frame,Score
1000000,3.2904
1250000,3.4152
1500000,3.6448
1750000,3.6688
2000000,3.788
2250000,3.8524
2500000,3.8252
2750000,3.9096
3000000,3.912
3250000,3.8988
3500000,3.9228
3750000,3.9348
4000000,3.9272
4250000,3.9404
4500000,3.9428
4750000,3.9408
5000000,3.9248
5250000,3.9264
5500000,3.9244
5750000,3.882
6000000,3.9292
6250000,3.9416
6500000,3.938
6750000,3.9468
7000000,3.9372
7250000,3.9496
7500000,3.9516
7750000,3.9364
8000000,3.9656
8250000,3.9356
8500000,3.9464
8750000,3.9
9000000,3.942
9250000,3.9536
9500000,3.954
9750000,3.9664
