Frame,Score
Frame,Score
1000000,-0.008
1250000,-0.0168
1500000,-0.012
1750000,-0.012
2000000,-0.0176
2250000,-0.008
2500000,-0.04
2750000,-0.0192
3000000,-0.0464
3250000,-0.0288
3500000,-0.0296
3750000,-0.0472
4000000,-0.0264
4250000,-0.0224
4500000,-0.0216
4750000,-0.03752
5000000,-0.0472
5250000,-0.0384
5500000,-0.0344
5750000,-0.0304
6000000,-0.0208
6250000,-0.0432
6500000,-0.0232
6750000,-0.0576
7000000,-0.032
7250000,-0.0272
7500000,-0.0512
7750000,-0.0416
8000000,-0.0248
8250000,-0.0424
8500000,-0.036
8750000,-0.0504
9000000,-0.0536
9250000,-0.0544
9500000,-0.052
9750000,-0.0528
