Frame,Score
Frame,Score
1000000,6.1944800000001035
1250000,6.597760000000114
1500000,6.704000000000106
1750000,6.772880000000101
2000000,6.486080000000131
2250000,6.593920000000132
2500000,6.755360000000101
2750000,6.715600000000108
3000000,6.503680000000132
3250000,6.771680000000099
3500000,6.734400000000105
3750000,6.611120000000128
4000000,6.762720000000103
4250000,6.771440000000103
4500000,6.763280000000102
4750000,6.738960000000103
5000000,6.753360000000103
5250000,6.762880000000102
5500000,6.728320000000106
5750000,6.7743200000001
6000000,6.773040000000099
6250000,6.7732000000001005
6500000,6.750000000000103
6750000,6.7819200000001
7000000,6.777600000000099
7250000,6.7733600000001
7500000,6.722080000000107
7750000,6.708000000000106
