Frame,Score
1000000,3.2818399999999994
1250000,4.510160000000002
1500000,5.005919999999996
1750000,5.3234399999999935
2000000,5.294720000000005
2250000,5.55016
2500000,5.60976
2750000,5.601119999999997
3000000,5.320160000000002
3250000,5.816399999999999
3500000,5.750799999999999
3750000,5.801280000000001
4000000,5.7723200000000014
4250000,5.736080000000001
4500000,5.779280000000006
4750000,5.69063999999999
5000000,5.663679999999998
5250000,5.534399999999997
5500000,5.735919999999996
5750000,5.793919999999989
6000000,5.581199999999998
6250000,5.718080000000006
6500000,5.89376
6750000,5.701599999999994
7000000,5.756320000000001
7250000,5.868799999999987
7500000,5.788399999999989
7750000,5.9214400000000005
8000000,5.596159999999994
8250000,5.777119999999997
8500000,5.8616000000000055
8750000,5.970080000000002
9000000,5.712480000000011
9250000,5.806720000000002
9500000,5.610239999999999
9750000,5.849760000000002
