Frame,Score
1000000,6.5568800000001195
1250000,6.621520000000116
1500000,6.66920000000011
1750000,6.642000000000113
2000000,6.627760000000117
2250000,6.754000000000102
2500000,6.777120000000099
2750000,6.7556000000001015
3000000,6.7766400000001
3250000,6.382560000000119
3500000,6.764480000000099
3750000,6.780880000000099
4000000,6.727200000000103
4250000,6.774080000000099
4500000,6.740880000000104
4750000,6.7663200000001
5000000,6.7679200000001005
5250000,6.624960000000115
5500000,6.358480000000109
