Frame,Score
1000000,2.5609599999999877
1250000,2.173600000000009
1500000,2.885119999999966
1750000,2.959679999999964
2000000,3.045279999999948
2250000,3.1201599999999363
2500000,3.0054399999999575
2750000,3.0286399999999607
3000000,3.1494399999999363
3250000,2.525440000000038
3500000,3.0740799999999484
3750000,3.1369599999999385
4000000,3.1598399999999343
4250000,3.1604799999999336
4500000,2.8065599999999935
4750000,3.0713599999999506
5000000,3.1340799999999387
5250000,3.154559999999934
5500000,3.0963199999999493
5750000,3.1670399999999344
6000000,3.159359999999937
6250000,3.164959999999934
6500000,3.144799999999936
6750000,2.7612800000000073
7000000,3.179999999999931
7250000,3.129759999999943
7500000,3.1611199999999364
7750000,3.1681599999999324
8000000,3.1318399999999396
8250000,3.1715199999999313
8500000,3.175679999999931
8750000,3.0835199999999494
9000000,3.167519999999932
9250000,3.1820799999999303
9500000,3.174079999999932
9750000,2.8870399999999865
