Frame,Score
1000000,2.916918309107562
1250000,3.327063457192264
1500000,3.019108188744665
1750000,3.3083124532962107
2000000,3.5076647177854663
2250000,3.5822874756598844
2500000,3.6776531298202384
2750000,3.7772589318238468
3000000,3.7287274753789315
3250000,3.124187620369932
3500000,3.4601119831142073
3750000,3.696779709400107
4000000,3.598000400585896
4250000,3.713499131697743
4500000,3.431003399321023
4750000,3.7814197801864116
5000000,3.79763970460576
5250000,3.764046406982161
5500000,3.8155377664902996
5750000,3.629486612504573
6000000,3.8129386630576554
6250000,3.818340018046701
6500000,3.594318371752157
6750000,3.750017527624803
7000000,3.6383216837512955
7250000,3.7597892782824673
7500000,3.6395743418900324
7750000,3.7050836225039134
8000000,3.8658919245374292
8250000,3.8362805310717567
8500000,3.803080189951542
8750000,3.7709664163151064
9000000,3.6032930072899756
9250000,3.8030784989544526
9500000,3.8172741996892365
9750000,3.7791829445075273
10000000,3.7496761557391234
10250000,3.8699259084303077
10500000,3.8729396808285963
10750000,3.859245224092005
11000000,3.5040443168522324
11250000,3.834193674616677
11500000,3.799174037946999
11750000,3.816128184817117
12000000,3.8126172857176766
12250000,3.622687713427854
12500000,3.7282769365249173
12750000,3.8340328556444887
13000000,3.8993623664089143
13250000,3.895731252638354
13500000,3.8819830446489947
13750000,3.7498199131058536
14000000,3.8837806412138707
14250000,3.837081516187539
14500000,3.838718311603248
14750000,3.872993833478803
15000000,3.8610114740977863
15250000,3.893051785214796
15500000,3.944570254870953
15750000,3.904707072205392
16000000,3.8584465417082283
