Frame,Score
Frame,Score
1000000,2.770719999999974
1250000,2.9561599999999535
1500000,2.769279999999996
1750000,2.683680000000016
2000000,2.4817600000000306
2250000,3.046079999999948
2500000,2.9529599999999645
2750000,3.109279999999939
3000000,3.087679999999944
3250000,2.699520000000016
3500000,2.3630400000000384
3750000,3.1025599999999396
4000000,2.814079999999997
4250000,3.1727999999999303
4500000,3.17775999999993
4750000,3.1535999999999333
5000000,2.872479999999985
5250000,3.1651199999999324
5500000,3.1203199999999396
5750000,3.1803199999999308
6000000,3.1671999999999327
6250000,3.118559999999942
6500000,3.181759999999929
6750000,3.1172799999999405
7000000,3.1758399999999303
7250000,3.1585599999999334
7500000,3.1655999999999334
7750000,3.08527999999995
8000000,2.8415999999999926
8250000,2.9286399999999784
8500000,3.18367999999993
8750000,3.177119999999931
9000000,3.1748799999999306
9250000,3.172319999999932
9500000,3.1836799999999292
9750000,3.1694399999999305
