Frame,Score
1000000,6.6064800000001185
1250000,6.692000000000108
1500000,6.652560000000107
1750000,6.65616000000011
2000000,6.586320000000128
2250000,6.751760000000102
2500000,6.757200000000102
2750000,6.764160000000101
3000000,6.744080000000103
3250000,6.755920000000103
3500000,6.772160000000101
3750000,6.370160000000131
4000000,6.748400000000103
4250000,6.7660000000001
4500000,6.7787200000001
4750000,6.772400000000101
5000000,6.764400000000101
5250000,6.765280000000101
5500000,6.7780800000001005
5750000,6.750800000000102
6000000,6.762160000000099
6250000,6.784000000000099
6500000,6.7771200000001
6750000,6.7649600000001
7000000,6.784240000000098
7250000,6.773280000000101
7500000,6.768160000000099
7750000,6.771040000000101
