Frame,Score
1000000,2.7727999999999637
1250000,2.5207999999999786
1500000,3.3630399999999505
1750000,3.177679999999936
2000000,3.030799999999938
2250000,2.7928799999999407
2500000,3.498319999999964
2750000,3.490719999999964
3000000,3.517999999999963
3250000,3.359919999999946
3500000,3.5482399999999683
3750000,3.5450399999999673
4000000,3.153759999999942
4250000,3.40663999999995
4500000,3.3743999999999432
4750000,3.399919999999944
5000000,3.575439999999971
5250000,3.5043199999999626
5500000,3.5736799999999707
5750000,3.5211199999999625
6000000,3.554079999999967
6250000,3.520959999999963
6500000,3.509839999999961
6750000,3.2735199999999343
7000000,3.1789599999999356
7250000,3.447519999999951
7500000,3.508479999999963
7750000,3.5434399999999653
8000000,3.5719199999999707
8250000,3.5658399999999695
8500000,3.5659199999999682
8750000,3.531519999999963
9000000,3.554719999999967
9250000,3.4903199999999606
9500000,3.4799999999999556
9750000,3.545439999999967
