Frame,Score
1000000,6.57168000000012
1250000,6.694960000000107
1500000,6.5872000000001165
1750000,6.713760000000105
2000000,6.6168800000001236
2250000,6.744640000000104
2500000,6.521200000000134
2750000,6.7507200000001015
3000000,6.752960000000104
3250000,6.751920000000103
3500000,6.724080000000108
3750000,6.744640000000104
4000000,6.781440000000099
4250000,6.766080000000101
4500000,6.692240000000108
4750000,6.7817600000001
5000000,6.758000000000102
5250000,6.654480000000114
5500000,6.754000000000102
